id,language_id,description
455,YAO,Yao
456,YAP,Yapese
457,YID,Yiddish
458,YOR,Yoruba
459,YPK,Yupik languages
460,ZAP,Zapotec
461,ZBL,Blissymbols; Blissymbolics; Bliss
462,ZEN,Zenaga
463,ZGH,Standard Moroccan Tamazight
464,ZHA,Zhuang; Chuang
465,ZND,Zande languages
466,ZUL,Zulu
467,ZUN,Zuni
468,ZZA,Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki
